0,Store ID,Gregorian Date,Hijri Date,Day,Greg. Month,Hijri Month,Location,Store Size,Parking,Mall,Work Hours,Cost/day,Promotion,Customer Base,Advertisements,Competition,Customers,Profit/day
20,fil-710,2015-05-06 00:00:00,1436-07-17,Wednesday,,Rajab,Border,Hyper,895,Yes,24 hrs,SAR 22395.0,Grand,395893,197946,3,3643,SAR 168995
21,fil-711,2015-05-06 00:00:00,1436-07-17,Wednesday,May,Rajab,,Hyper,460,Yes,12 hrs,SAR 15445.0,Grand,733394,293357,8,9240,SAR 407604
22,fil-701,2015-05-07 00:00:00,1436-07-18,Thursday,May,Rajab,Center,Hyper,675,No,12 hrs,SAR 35811.0,Regular,1219360,731616,10,19070,SAR 1021258
23,fil-702,2015-05-07 00:00:00,1436-07-18,Thursday,May,Rajab,Outskirts,Regular,1075,Yes,12 hrs,SAR 4022.0,Regular,132851,53140,1,2445,SAR 112465
24,fil-703,2015-05-07 00:00:00,1436-07-18,,May,Rajab,Border,Grande,2725,Yes,12 hrs,SAR 481127.0,Regular,649943,324971,1,6005,SAR 303301
25,fil-704,2015-05-07 00:00:00,1436-07-18,Thursday,,Rajab,Center,Regular,205,No,12 hrs,SAR 8355.0,Regular,967411,483705,8,15358,SAR 769155
26,fil-705,2015-05-07 00:00:00,1436-07-18,Thursday,,Rajab,,Hyper,760,No,24 hrs,SAR 39028.0,Regular,1271226,635613,6,22454,SAR 1228351
27,fil-706,2015-05-07 00:00:00,1436-07-18,Thursday,May,Rajab,Center,Hyper,755,Yes,18 hrs,SAR 52080.0,Regular,724584,362292,5,11303,SAR 598908
28,fil-707,2015-05-07 00:00:00,1436-07-18,,May,Rajab,,Grande,590,No,18 hrs,SAR 594379.0,Regular,2495403,1497241,5,22179,SAR 1343895
29,fil-708,2015-05-07 00:00:00,1436-07-18,Thursday,May,Rajab,Border,Grande,2165,No,18 hrs,SAR 456992.0,Regular,1094649,656789,2,12636,SAR 540652
30,fil-709,2015-05-07 00:00:00,1436-07-18,Thursday,May,Rajab,Center,Hyper,775,Yes,12 hrs,SAR 48869.0,Regular,1966364,589909,11,28315,SAR 1467101
31,fil-710,2015-05-07 00:00:00,1436-07-18,Thursday,May,Rajab,Border,Hyper,895,Yes,24 hrs,SAR 21541.0,Regular,395893,237535,3,7430,SAR 305937
32,fil-711,2015-05-07 00:00:00,1436-07-18,Thursday,May,Rajab,Center,Hyper,460,Yes,12 hrs,SAR 15417.0,Regular,733394,366697,8,9240,SAR 379503
33,fil-701,2015-05-08 00:00:00,1436-07-19,Friday,May,Rajab,,Hyper,675,No,12 hrs,SAR 36786.0,Regular,1219360,365808,10,18222,SAR 917714
34,fil-702,2015-05-08 00:00:00,1436-07-19,Friday,May,Rajab,Outskirts,Regular,1075,Yes,12 hrs,SAR 4931.0,Regular,132851,39855,1,1861,SAR 90064
35,fil-703,2015-05-08 00:00:00,1436-07-19,Friday,May,Rajab,Border,,2725,Yes,12 hrs,SAR 516605.0,Regular,649943,324971,1,11435,SAR 560832
36,fil-704,2015-05-08 00:00:00,1436-07-19,Fri,May,Rajab,Center,Regular,205,No,12 hrs,SAR 5882.0,Regular,967411,483705,8,18063,SAR 937837
37,fil-705,2015-05-08 00:00:00,1436-07-19,Friday,May,Rajab,Center,Hyper,760,No,24 hrs,SAR 45179.0,Regular,1271226,635613,6,21417,SAR 1081685
38,fil-706,2015-05-08 00:00:00,1436-07-19,Friday,May,Rajab,,Hyper,755,Yes,18 hrs,SAR 60795.0,Regular,724584,362292,5,10681,SAR 548972
39,fil-707,2015-05-08 00:00:00,1436-07-19,Friday,May,Rajab,Center,Grande,590,No,18 hrs,SAR 582587.0,Regular,2495403,748620,5,52702,SAR 2757801
40,fil-708,2015-05-08 00:00:00,1436-07-19,Friday,May,Rajab,,Grande,2165,No,18 hrs,SAR 385027.0,Regular,1094649,437859,2,22304,SAR 1194723
41,fil-709,2015-05-08 00:00:00,1436-07-19,,May,Rajab,Center,Hyper,775,Yes,12 hrs,SAR 55522.0,Regular,1966364,983182,11,18877,SAR 895836
42,fil-710,2015-05-08 00:00:00,1436-07-19,Fri,May,Rajab,Border,Hyper,895,Yes,24 hrs,SAR 24774.0,Regular,395893,158357,3,7458,SAR 405740
43,fil-711,2015-05-08 00:00:00,1436-07-19,Friday,May,Rajab,Center,Hyper,460,Yes,12 hrs,SAR 14763.0,Regular,733394,293357,8,8547,SAR 472346
44,fil-701,2015-05-09 00:00:00,1436-07-20,Saturday,May,Rajab,,Hyper,675,No,12 hrs,SAR 42189.0,None,1219360,0,10,15961,SAR 676050
45,fil-702,2015-05-09 00:00:00,1436-07-20,Saturday,,Rajab,,Regular,1075,Yes,12 hrs,SAR 3713.0,None,132851,0,1,1637,SAR 92845
46,fil-703,2015-05-09 00:00:00,1436-07-20,,May,Rajab,Border,Grande,2725,Yes,12 hrs,SAR 485476.0,None,649943,0,1,6969,SAR 314079
47,fil-704,2015-05-09 00:00:00,1436-07-20,,May,Rajab,Center,Regular,205,No,12 hrs,SAR 7447.0,None,967411,0,8,18040,SAR 751363
48,fil-705,2015-05-09 00:00:00,1436-07-20,Saturday,May,Rajab,Center,,760,No,24 hrs,SAR 38017.0,None,1271226,0,6,27337,SAR 1308767
49,fil-706,2015-05-09 00:00:00,1436-07-20,Saturday,May,Rajab,,Hyper,755,Yes,18 hrs,SAR 59559.0,None,724584,0,5,14207,SAR 714499
50,fil-707,2015-05-09 00:00:00,1436-07-20,,,Rajab,Center,Grande,590,No,18 hrs,SAR 621136.0,None,2495403,0,5,46087,SAR 2089844
51,fil-708,2015-05-09 00:00:00,1436-07-20,Saturday,May,Rajab,Border,Grande,2165,No,18 hrs,SAR 460983.0,None,1094649,0,2,12062,SAR 634653
52,fil-709,2015-05-09 00:00:00,1436-07-20,Saturday,May,Rajab,Center,Hyper,775,Yes,12 hrs,SAR 54045.0,None,1966364,0,11,31754,SAR 2144533
53,fil-710,2015-05-09 00:00:00,1436-07-20,Saturday,May,Rajab,Border,Hyper,895,Yes,24 hrs,SAR 24635.0,None,395893,0,3,9007,SAR 384708
54,fil-711,2015-05-09 00:00:00,1436-07-20,Saturday,May,Rajab,Center,Hyper,460,Yes,12 hrs,SAR 16448.0,None,733394,0,8,11812,SAR 650317
55,fil-701,2015-05-10 00:00:00,1436-07-21,,May,Rajab,,Hyper,675,No,12 hrs,SAR 39123.0,None,1219360,0,10,14303,SAR 809317
56,fil-702,2015-05-10 00:00:00,1436-07-21,Sun,May,Rajab,,Regular,1075,Yes,12 hrs,SAR 4939.0,None,132851,0,1,1836,SAR 99113
57,fil-703,2015-05-10 00:00:00,1436-07-21,Sunday,May,Rajab,,Grande,2725,Yes,12 hrs,SAR 606305.0,None,649943,0,1,12026,SAR 600112
58,fil-704,2015-05-10 00:00:00,1436-07-21,Sunday,May,Rajab,Center,Regular,205,No,12 hrs,SAR 7199.0,None,967411,0,8,11732,SAR 629348
59,fil-705,2015-05-10 00:00:00,1436-07-21,Sunday,May,Rajab,Center,Hyper,760,No,24 hrs,SAR 42238.0,None,1271226,0,6,23309,SAR 1206091
60,fil-706,2015-05-10 00:00:00,1436-07-21,Sunday,,Rajab,Center,Hyper,755,Yes,18 hrs,SAR 49884.0,None,724584,0,5,5651,SAR 305075
61,fil-707,2015-05-10 00:00:00,1436-07-21,Sunday,May,Rajab,Center,Grande,590,No,18 hrs,SAR 559484.0,None,2495403,0,5,28123,SAR 1381423
62,fil-708,2015-05-10 00:00:00,1436-07-21,Sun,,Rajab,Border,Grande,2165,No,18 hrs,SAR 413296.0,None,1094649,0,2,14604,SAR 753580
63,fil-709,2015-05-10 00:00:00,1436-07-21,Sunday,May,Rajab,Center,Hyper,775,Yes,12 hrs,SAR 66335.0,None,1966364,0,11,23596,SAR 1274121
64,fil-710,2015-05-10 00:00:00,1436-07-21,Sunday,May,Rajab,,Hyper,895,Yes,24 hrs,SAR 24052.0,None,395893,0,3,3911,SAR 194543
65,fil-711,2015-05-10 00:00:00,1436-07-21,Sunday,May,Rajab,Center,Hyper,460,Yes,12 hrs,SAR 12818.0,None,733394,0,8,9240,SAR 576978
66,fil-701,2015-05-11 00:00:00,1436-07-22,Monday,May,Rajab,,Hyper,675,No,12 hrs,SAR 43919.0,None,1219360,0,10,16044,SAR 870989
67,fil-702,2015-05-11 00:00:00,1436-07-22,Monday,May,Rajab,Outskirts,Regular,1075,Yes,12 hrs,SAR 4673.0,None,132851,0,1,2072,SAR 117308
68,fil-703,2015-05-11 00:00:00,1436-07-22,Monday,May,Rajab,Border,Grande,2725,Yes,12 hrs,SAR 584972.0,None,649943,0,1,11932,SAR 646084
69,fil-704,2015-05-11 00:00:00,1436-07-22,Monday,May,Rajab,Center,Regular,205,No,12 hrs,SAR 7181.0,None,967411,0,8,13652,SAR 724054
70,fil-705,2015-05-11 00:00:00,1436-07-22,Monday,May,Rajab,Center,,760,No,24 hrs,SAR 46808.0,None,1271226,0,6,14006,SAR 720311
71,fil-706,2015-05-11 00:00:00,1436-07-22,Mon,,Rajab,Center,Hyper,755,Yes,18 hrs,SAR 44110.0,None,724584,0,5,8948,SAR 510263
72,fil-707,2015-05-11 00:00:00,1436-07-22,Monday,May,Rajab,Center,Grande,590,No,18 hrs,SAR 606966.0,None,2495403,0,5,22426,SAR 1252104
73,fil-708,2015-05-11 00:00:00,1436-07-22,Monday,,Rajab,Border,Grande,2165,No,18 hrs,SAR 430114.0,None,1094649,0,2,21677,SAR 1089008
74,fil-709,2015-05-11 00:00:00,1436-07-22,Monday,May,Rajab,Center,Hyper,775,Yes,12 hrs,SAR 60748.0,None,1966364,0,11,14157,SAR 766041
75,fil-710,2015-05-11 00:00:00,1436-07-22,Monday,May,Rajab,Border,Hyper,895,Yes,24 hrs,SAR 23511.0,None,395893,0,3,2992,SAR 144761
76,fil-711,2015-05-11 00:00:00,1436-07-22,Monday,May,Rajab,Center,Hyper,460,Yes,12 hrs,SAR 14484.0,None,733394,0,8,6600,SAR 366490
77,fil-701,2015-05-12 00:00:00,1436-07-23,Tuesday,May,Rajab,Center,Hyper,675,No,12 hrs,SAR 46570.0,None,1219360,0,10,11486,SAR 574662
78,fil-702,2015-05-12 00:00:00,1436-07-23,Tuesday,May,Rajab,Outskirts,Regular,1075,Yes,12 hrs,SAR 4453.0,None,132851,0,1,2316,SAR 115655
79,fil-703,2015-05-12 00:00:00,1436-07-23,Tuesday,May,Rajab,Border,Grande,2725,Yes,12 hrs,SAR 519819.0,None,649943,0,1,8926,SAR 411234
80,fil-704,2015-05-12 00:00:00,1436-07-23,Tuesday,May,Rajab,Center,Regular,205,No,12 hrs,SAR 6518.0,None,967411,0,8,9620,SAR 462513
81,fil-705,2015-05-12 00:00:00,1436-07-23,,May,Rajab,Center,Hyper,760,No,24 hrs,SAR 38130.0,None,1271226,0,6,15681,SAR 779562
82,fil-706,2015-05-12 00:00:00,1436-07-23,Tuesday,May,Rajab,Center,Hyper,755,Yes,18 hrs,SAR 59087.0,None,724584,0,5,6593,SAR 283760
83,fil-707,2015-05-12 00:00:00,1436-07-23,Tuesday,May,Rajab,Center,Grande,590,No,18 hrs,SAR 611570.0,None,2495403,0,5,26276,SAR 1362803
84,fil-708,2015-05-12 00:00:00,1436-07-23,,May,Rajab,Border,Grande,2165,No,18 hrs,SAR 415233.0,None,1094649,0,2,14313,SAR 760886
85,fil-709,2015-05-12 00:00:00,1436-07-23,Tuesday,May,Rajab,Center,Hyper,775,Yes,12 hrs,SAR 51132.0,None,1966364,0,11,16517,SAR 934177
86,fil-710,2015-05-12 00:00:00,1436-07-23,Tuesday,May,Rajab,Border,Hyper,895,Yes,24 hrs,SAR 23123.0,None,395893,0,3,6645,SAR 362336
87,fil-711,2015-05-12 00:00:00,1436-07-23,Tue,,Rajab,Center,Hyper,460,Yes,12 hrs,SAR 13391.0,None,733394,0,8,10560,SAR 519747
88,fil-701,2015-05-13 00:00:00,1436-07-24,Wednesday,May,Rajab,Center,Hyper,675,No,12 hrs,SAR 43193.0,Regular,1219360,609680,10,20152,SAR 1033378
89,fil-702,2015-05-13 00:00:00,1436-07-24,Wednesday,May,Rajab,Outskirts,Regular,1075,Yes,12 hrs,SAR 5201.0,Regular,132851,79710,1,2285,SAR 119593
90,fil-703,2015-05-13 00:00:00,1436-07-24,Wednesday,May,Rajab,Border,Grande,2725,Yes,12 hrs,SAR 700869.0,Regular,649943,389965,1,4881,SAR 242261
91,fil-704,2015-05-13 00:00:00,1436-07-24,Wednesday,May,Rajab,Center,Regular,205,No,12 hrs,SAR 7702.0,Regular,967411,580446,8,10912,SAR 519132
92,fil-705,2015-05-13 00:00:00,1436-07-24,Wednesday,May,Rajab,Center,Hyper,760,No,24 hrs,SAR 35085.0,Regular,1271226,762735,6,13401,SAR 675979
93,fil-706,2015-05-13 00:00:00,1436-07-24,Wednesday,May,Rajab,Center,Hyper,755,Yes,18 hrs,SAR 59766.0,Regular,724584,434750,5,8006,SAR 407164
94,fil-707,2015-05-13 00:00:00,1436-07-24,Wednesday,May,Rajab,,Grande,590,No,18 hrs,SAR 621409.0,Regular,2495403,1497241,5,20686,SAR 1027477
95,fil-708,2015-05-13 00:00:00,1436-07-24,Wednesday,May,Rajab,Border,Grande,2165,No,18 hrs,SAR 480442.0,Regular,1094649,328394,2,16463,SAR 833480
96,fil-709,2015-05-13 00:00:00,1436-07-24,Wednesday,May,Rajab,Center,,775,Yes,12 hrs,SAR 58034.0,Regular,1966364,983182,11,11798,SAR 588839
97,fil-710,2015-05-13 00:00:00,1436-07-24,Wednesday,May,Rajab,Border,Hyper,895,Yes,24 hrs,SAR 22728.0,Regular,395893,158357,3,3296,SAR 209757
98,fil-711,2015-05-13 00:00:00,1436-07-24,Wednesday,May,Rajab,Center,Hyper,460,Yes,12 hrs,SAR 15838.0,Regular,733394,366697,8,5720,SAR 275990
99,fil-701,2015-05-14 00:00:00,1436-07-25,Thursday,May,Rajab,Center,Hyper,675,No,12 hrs,SAR 37951.0,None,1219360,0,10,13736,SAR 628861
100,fil-702,2015-05-14 00:00:00,1436-07-25,Thursday,May,Rajab,Outskirts,Regular,1075,Yes,12 hrs,SAR 4581.0,None,132851,0,1,2134,SAR 93001
101,fil-703,2015-05-14 00:00:00,1436-07-25,Thursday,May,Rajab,Border,Grande,2725,Yes,12 hrs,SAR 631448.0,None,649943,0,1,5583,SAR 238839
102,fil-704,2015-05-14 00:00:00,1436-07-25,Thursday,,Rajab,Center,Regular,205,No,12 hrs,SAR 8131.0,None,967411,0,8,13216,SAR 721381
103,fil-705,2015-05-14 00:00:00,1436-07-25,,May,Rajab,Center,,760,No,24 hrs,SAR 36707.0,None,1271226,0,6,23766,SAR 1082298
104,fil-706,2015-05-14 00:00:00,1436-07-25,,May,Rajab,Center,Hyper,755,Yes,18 hrs,SAR 57711.0,None,724584,0,5,7064,SAR 350584
105,fil-707,2015-05-14 00:00:00,1436-07-25,Thursday,,Rajab,Center,Grande,590,No,18 hrs,SAR 465788.0,None,2495403,0,5,44083,SAR 2178319
106,fil-708,2015-05-14 00:00:00,1436-07-25,Thursday,May,Rajab,,Grande,2165,No,18 hrs,SAR 400835.0,None,1094649,0,2,25115,SAR 1384105
107,fil-709,2015-05-14 00:00:00,1436-07-25,,May,Rajab,Center,Hyper,775,Yes,12 hrs,SAR 73217.0,None,1966364,0,11,22416,SAR 1054693
108,fil-710,2015-05-14 00:00:00,1436-07-25,Thursday,,Rajab,Border,Hyper,895,Yes,24 hrs,SAR 23380.0,None,395893,0,3,5074,SAR 220142
109,fil-711,2015-05-14 00:00:00,1436-07-25,Thursday,May,Rajab,Center,Hyper,460,Yes,12 hrs,SAR 13288.0,None,733394,0,8,6600,SAR 338606
110,fil-701,2015-05-15 00:00:00,1436-07-26,,May,Rajab,Center,Hyper,675,No,12 hrs,SAR 50414.0,None,1219360,0,10,21875,SAR 929075
111,fil-702,2015-05-15 00:00:00,1436-07-26,Friday,,Rajab,Outskirts,,1075,Yes,12 hrs,SAR 3843.0,None,132851,0,1,2082,SAR 115524
112,fil-703,2015-05-15 00:00:00,1436-07-26,Friday,May,Rajab,Border,Grande,2725,Yes,12 hrs,SAR 572746.0,None,649943,0,1,9242,SAR 459244
113,fil-704,2015-05-15 00:00:00,1436-07-26,Friday,May,Rajab,Center,Regular,205,No,12 hrs,SAR 7956.0,None,967411,0,8,14874,SAR 760292
114,fil-705,2015-05-15 00:00:00,1436-07-26,Friday,May,Rajab,Center,,760,No,24 hrs,SAR 34587.0,None,1271226,0,6,14385,SAR 666375
115,fil-706,2015-05-15 00:00:00,1436-07-26,,,Rajab,Center,Hyper,755,Yes,18 hrs,SAR 59252.0,None,724584,0,5,7535,SAR 422886
116,fil-707,2015-05-15 00:00:00,1436-07-26,Friday,May,Rajab,Center,Grande,590,No,18 hrs,SAR 733850.0,None,2495403,0,5,44018,SAR 2237324
117,fil-708,2015-05-15 00:00:00,1436-07-26,Friday,May,Rajab,Border,Grande,2165,No,18 hrs,SAR 473338.0,None,1094649,0,2,19913,SAR 985743
118,fil-709,2015-05-15 00:00:00,1436-07-26,Friday,May,Rajab,,Hyper,775,Yes,12 hrs,SAR 57086.0,None,1966364,0,11,32574,SAR 1498969
119,fil-710,2015-05-15 00:00:00,1436-07-26,Friday,May,Rajab,Border,Hyper,895,Yes,24 hrs,SAR 26527.0,None,395893,0,3,4071,SAR 194490
120,fil-711,2015-05-15 00:00:00,1436-07-26,Friday,May,Rajab,Center,,460,Yes,12 hrs,SAR 13906.0,None,733394,0,8,7417,SAR 301700
121,fil-701,2015-05-16 00:00:00,1436-07-27,,May,Rajab,Center,Hyper,675,No,12 hrs,SAR 47364.0,Grand,1219360,731616,10,14303,SAR 748624
122,fil-702,2015-05-16 00:00:00,1436-07-27,Saturday,May,Rajab,Outskirts,Regular,1075,Yes,12 hrs,SAR 4146.0,Grand,132851,66425,1,2431,SAR 118330
123,fil-703,2015-05-16 00:00:00,1436-07-27,Saturday,May,Rajab,Border,Grande,2725,Yes,12 hrs,SAR 513586.0,Grand,649943,194982,1,12434,SAR 615156
124,fil-704,2015-05-16 00:00:00,1436-07-27,Saturday,May,Rajab,Center,,205,No,12 hrs,SAR 7340.0,Grand,967411,386964,8,15442,SAR 682389
125,fil-705,2015-05-16 00:00:00,1436-07-27,Saturday,May,Rajab,Center,Hyper,760,No,24 hrs,SAR 35614.0,Grand,1271226,381367,6,21463,SAR 1139853
126,fil-706,2015-05-16 00:00:00,1436-07-27,Saturday,May,Rajab,Center,,755,Yes,18 hrs,SAR 54421.0,Grand,724584,289833,5,8287,SAR 455935
127,fil-707,2015-05-16 00:00:00,1436-07-27,Saturday,,Rajab,Center,Grande,590,No,18 hrs,SAR 750852.0,Grand,2495403,1497241,5,42294,SAR 2213066
128,fil-708,2015-05-16 00:00:00,1436-07-27,Saturday,May,Rajab,Border,Grande,2165,No,18 hrs,SAR 381730.0,Grand,1094649,656789,2,26273,SAR 1267819
129,fil-709,2015-05-16 00:00:00,1436-07-27,Saturday,May,Rajab,Center,,775,Yes,12 hrs,SAR 60923.0,Grand,1966364,983182,11,26307,SAR 1266762
130,fil-710,2015-05-16 00:00:00,1436-07-27,,May,Rajab,,Hyper,895,Yes,24 hrs,SAR 20089.0,Grand,395893,237535,3,5249,SAR 278495
131,fil-711,2015-05-16 00:00:00,1436-07-27,Saturday,May,Rajab,Center,Hyper,460,Yes,12 hrs,SAR 14416.0,Grand,733394,366697,8,10243,SAR 566887
132,fil-701,2015-05-17 00:00:00,1436-07-28,,May,Rajab,Center,Hyper,675,No,12 hrs,SAR 42772.0,Regular,1219360,365808,10,18339,SAR 1064747
133,fil-702,2015-05-17 00:00:00,1436-07-28,Sunday,May,Rajab,Outskirts,Regular,1075,Yes,12 hrs,SAR 4591.0,Regular,132851,79710,1,1222,SAR 61836
134,fil-703,2015-05-17 00:00:00,1436-07-28,Sunday,May,Rajab,Border,Grande,2725,Yes,12 hrs,SAR 490695.0,Regular,649943,259977,1,6888,SAR 347764
135,fil-704,2015-05-17 00:00:00,1436-07-28,Sunday,May,Rajab,Center,Regular,205,No,12 hrs,SAR 7366.0,Regular,967411,483705,8,16217,SAR 778649
136,fil-705,2015-05-17 00:00:00,1436-07-28,Sunday,May,Rajab,Center,Hyper,760,No,24 hrs,SAR 38442.0,Regular,1271226,635613,6,16705,SAR 688466
137,fil-706,2015-05-17 00:00:00,1436-07-28,,May,Rajab,Center,Hyper,755,Yes,18 hrs,SAR 53429.0,Regular,724584,434750,5,6593,SAR 320936
138,fil-707,2015-05-17 00:00:00,1436-07-28,Sunday,May,Rajab,Center,,590,No,18 hrs,SAR 686683.0,Regular,2495403,998161,5,23002,SAR 1183727
139,fil-708,2015-05-17 00:00:00,1436-07-28,Sunday,,Rajab,,Grande,2165,No,18 hrs,SAR 393136.0,Regular,1094649,437859,2,23716,SAR 1189582
140,fil-709,2015-05-17 00:00:00,1436-07-28,Sun,May,Rajab,Center,,775,Yes,12 hrs,SAR 51959.0,Regular,1966364,589909,11,23596,SAR 1119492
141,fil-710,2015-05-17 00:00:00,1436-07-28,Sunday,May,Rajab,Border,Hyper,895,Yes,24 hrs,SAR 24019.0,Regular,395893,158357,3,3083,SAR 149975
142,fil-711,2015-05-17 00:00:00,1436-07-28,Sunday,May,Rajab,Center,Hyper,460,Yes,12 hrs,SAR 17463.0,Regular,733394,440036,8,10560,SAR 581197
143,fil-701,2015-05-18 00:00:00,1436-07-29,Monday,May,Rajab,Center,Hyper,675,No,12 hrs,SAR 51626.0,Regular,1219360,487744,10,11164,SAR 550017
144,fil-702,2015-05-18 00:00:00,1436-07-29,Monday,,Rajab,Outskirts,Regular,1075,Yes,12 hrs,SAR 4189.0,Regular,132851,79710,1,1738,SAR 100830
145,fil-703,2015-05-18 00:00:00,1436-07-29,,May,Rajab,Border,Grande,2725,Yes,12 hrs,SAR 593037.0,Regular,649943,194982,1,9409,SAR 481169
146,fil-704,2015-05-18 00:00:00,1436-07-29,Monday,May,Rajab,Center,Regular,205,No,12 hrs,SAR 8104.0,Regular,967411,386964,8,11701,SAR 573309
147,fil-705,2015-05-18 00:00:00,1436-07-29,Monday,May,Rajab,Center,Hyper,760,No,24 hrs,SAR 43032.0,Regular,1271226,381367,6,17550,SAR 846691
148,fil-706,2015-05-18 00:00:00,1436-07-29,Monday,May,Rajab,Center,Hyper,755,Yes,18 hrs,SAR 59162.0,Regular,724584,362292,5,5180,SAR 248111
149,fil-707,2015-05-18 00:00:00,1436-07-29,Monday,May,Rajab,Center,Grande,590,No,18 hrs,SAR 630538.0,Regular,2495403,1497241,5,48450,SAR 2424916
150,fil-708,2015-05-18 00:00:00,1436-07-29,Monday,May,Rajab,Border,Grande,2165,No,18 hrs,SAR 466193.0,Regular,1094649,656789,2,15073,SAR 761506
151,fil-709,2015-05-18 00:00:00,1436-07-29,Monday,May,Rajab,Center,Hyper,775,Yes,12 hrs,SAR 54710.0,Regular,1966364,983182,11,14157,SAR 717750
152,fil-710,2015-05-18 00:00:00,1436-07-29,Mon,May,Rajab,Border,Hyper,895,Yes,24 hrs,SAR 21807.0,Regular,395893,118767,3,6501,SAR 271103
153,fil-711,2015-05-18 00:00:00,1436-07-29,Monday,May,Rajab,Center,Hyper,460,Yes,12 hrs,SAR 13323.0,Regular,733394,293357,8,10120,SAR 549559
154,fil-701,2015-05-19 00:00:00,1436-08-01,Tuesday,May,Sha’ban,Center,Hyper,675,No,12 hrs,SAR 41267.0,None,1219360,0,10,20119,SAR 1105141
155,fil-702,2015-05-19 00:00:00,1436-08-01,Tuesday,May,Sha’ban,Outskirts,Regular,1075,Yes,12 hrs,SAR 4791.0,None,132851,0,1,2404,SAR 114610
156,fil-703,2015-05-19 00:00:00,1436-08-01,Tuesday,May,Sha’ban,Border,Grande,2725,Yes,12 hrs,SAR 514350.0,None,649943,0,1,6145,SAR 295560
157,fil-704,2015-05-19 00:00:00,1436-08-01,,May,Sha’ban,,Regular,205,No,12 hrs,SAR 7903.0,None,967411,0,8,16664,SAR 827595
