0,Store ID,Gregorian Date,Hijri Date,Day,Greg. Month,Hijri Month,Location,Store Size,Parking,Mall,Work Hours,Cost/day,Promotion,Customer Base,Advertisements,Competition,Customers,Profit/day
13,fil-704,2018-06-19 00:00:00,1439-10-05,Tue,Jun,Shawwal,Center,Grande,510,No,12 hrs,SAR 675023.0,None,846845,0,8,13568,SAR 729531
14,fil-705,2018-06-19 00:00:00,1439-10-05,Tue,Jun,Shawwal,Border,Hyper,1980,Yes,12 hrs,SAR 32737.0,None,321070,0,2,4800,SAR 210043
15,fil-706,2018-06-19 00:00:00,1439-10-05,Tue,Jun,Shawwal,Center,Grande,790,Yes,12 hrs,SAR 189855.0,None,918095,0,11,11567,SAR 638894
16,fil-707,2018-06-19 00:00:00,1439-10-05,Tue,Jun,Shawwal,Center,Hyper,405,Yes,18 hrs,SAR 59963.0,None,331111,0,6,3377,SAR 169893
17,fil-708,2018-06-19 00:00:00,1439-10-05,Tue,Jun,Shawwal,Border,Hyper,1835,No,18 hrs,SAR 71480.0,None,275097,0,1,3169,SAR 145876
18,fil-709,2018-06-19 00:00:00,1439-10-05,Tue,Jun,Shawwal,Center,Regular,80,No,12 hrs,SAR 4087.0,None,326509,0,11,3991,SAR 224524
19,fil-710,2018-06-19 00:00:00,1439-10-05,Tue,Jun,Shawwal,Border,Hyper,990,No,24 hrs,SAR 32942.0,None,188233,0,2,4000,SAR 216763
20,fil-701,2018-06-20 00:00:00,1439-10-06,Wed,Jun,Shawwal,Center,Regular,85,Yes,12 hrs,SAR 1199.0,Grand,453054,226527,5,4122,SAR 213514
21,fil-702,2018-06-20 00:00:00,1439-10-06,Wed,Jun,Shawwal,Center,Grande,1375,Yes,18 hrs,SAR 341292.0,None,1917897,0,7,17261,SAR 691073
22,fil-703,2018-06-20 00:00:00,1439-10-06,Wed,Jun,Shawwal,Outskirts,Hyper,1285,No,24 hrs,SAR 27381.0,Grand,138913,83347,1,3123,SAR 184813
23,fil-704,2018-06-20 00:00:00,1439-10-06,Wed,Jun,Shawwal,Center,Grande,510,No,12 hrs,SAR 648087.0,None,846845,0,8,9306,SAR 399881
24,fil-705,2018-06-20 00:00:00,1439-10-06,Wed,Jun,Shawwal,Border,Hyper,1980,Yes,12 hrs,SAR 33418.0,Grand,321070,192642,2,4721,SAR 189301
25,fil-706,2018-06-20 00:00:00,1439-10-06,Wed,Jun,Shawwal,Center,Grande,790,Yes,12 hrs,SAR 175872.0,None,918095,0,11,11017,SAR 503703
26,fil-707,2018-06-20 00:00:00,1439-10-06,Wed,Jun,Shawwal,Center,Hyper,405,Yes,18 hrs,SAR 57674.0,Grand,331111,198666,6,2781,SAR 135814
27,fil-708,2018-06-20 00:00:00,1439-10-06,Wed,Jun,Shawwal,Border,Hyper,1835,No,18 hrs,SAR 78946.0,None,275097,0,1,4965,SAR 248528
28,fil-709,2018-06-20 00:00:00,1439-10-06,Wed,Jun,Shawwal,Center,Regular,80,No,12 hrs,SAR 5641.0,Grand,326509,130603,11,5955,SAR 290595
29,fil-710,2018-06-20 00:00:00,1439-10-06,Wed,Jun,Shawwal,Border,Hyper,990,No,24 hrs,SAR 37231.0,None,188233,0,2,2937,SAR 146557
30,fil-701,2018-06-21 00:00:00,1439-10-07,Thu,Jun,Shawwal,Center,Regular,85,Yes,12 hrs,SAR 1146.0,Regular,453054,226527,5,7067,SAR 367489
31,fil-702,2018-06-21 00:00:00,1439-10-07,Thu,Jun,Shawwal,Center,Grande,1375,Yes,18 hrs,SAR 458113.0,None,1917897,0,7,20713,SAR 1098128
32,fil-703,2018-06-21 00:00:00,1439-10-07,Thu,Jun,Shawwal,Outskirts,Hyper,1285,No,24 hrs,SAR 24095.0,Regular,138913,69456,1,2523,SAR 125921
33,fil-704,2018-06-21 00:00:00,1439-10-07,Thu,Jun,Shawwal,Center,Grande,510,No,12 hrs,SAR 756459.0,None,846845,0,8,9552,SAR 443757
34,fil-705,2018-06-21 00:00:00,1439-10-07,Thu,Jun,Shawwal,Border,Hyper,1980,Yes,12 hrs,SAR 27513.0,Regular,321070,192642,2,3780,SAR 192333
35,fil-706,2018-06-21 00:00:00,1439-10-07,Thu,Jun,Shawwal,Center,Grande,790,Yes,12 hrs,SAR 192382.0,None,918095,0,11,9915,SAR 437504
36,fil-707,2018-06-21 00:00:00,1439-10-07,Thu,Jun,Shawwal,Center,Hyper,405,Yes,18 hrs,SAR 51143.0,Regular,331111,99333,6,3575,SAR 165201
37,fil-708,2018-06-21 00:00:00,1439-10-07,Thu,Jun,Shawwal,Border,Hyper,1835,No,18 hrs,SAR 82096.0,None,275097,0,1,6239,SAR 281439
38,fil-709,2018-06-21 00:00:00,1439-10-07,Thu,Jun,Shawwal,Center,Regular,80,No,12 hrs,SAR 4563.0,Regular,326509,195905,11,6073,SAR 296975
39,fil-710,2018-06-21 00:00:00,1439-10-07,Thu,Jun,Shawwal,Border,Hyper,990,No,24 hrs,SAR 36285.0,None,188233,0,2,2066,SAR 85386
40,fil-701,2018-06-22 00:00:00,1439-10-08,Fri,Jun,Shawwal,Center,Regular,85,Yes,12 hrs,SAR 1265.0,None,453054,0,5,4417,SAR 235131
41,fil-702,2018-06-22 00:00:00,1439-10-08,Fri,Jun,Shawwal,Center,Grande,1375,Yes,18 hrs,SAR 327788.0,Regular,1917897,958948,7,18411,SAR 919658
42,fil-703,2018-06-22 00:00:00,1439-10-08,Fri,Jun,Shawwal,Outskirts,Hyper,1285,No,24 hrs,SAR 33583.0,None,138913,0,1,2365,SAR 112115
43,fil-704,2018-06-22 00:00:00,1439-10-08,Fri,Jun,Shawwal,Center,Grande,510,No,12 hrs,SAR 674263.0,Regular,846845,508107,8,15270,SAR 680419
44,fil-705,2018-06-22 00:00:00,1439-10-08,Fri,Jun,Shawwal,Border,Hyper,1980,Yes,12 hrs,SAR 30786.0,None,321070,0,2,3197,SAR 146035
45,fil-706,2018-06-22 00:00:00,1439-10-08,Fri,Jun,Shawwal,Center,Grande,790,Yes,12 hrs,SAR 206088.0,Regular,918095,275428,11,7161,SAR 412401
46,fil-707,2018-06-22 00:00:00,1439-10-08,Fri,Jun,Shawwal,Center,Hyper,405,Yes,18 hrs,SAR 51622.0,None,331111,0,6,3377,SAR 162844
47,fil-708,2018-06-22 00:00:00,1439-10-08,Fri,Jun,Shawwal,Border,Hyper,1835,No,18 hrs,SAR 78271.0,Regular,275097,165058,1,5726,SAR 356696
48,fil-709,2018-06-22 00:00:00,1439-10-08,Fri,Jun,Shawwal,Center,Regular,80,No,12 hrs,SAR 5551.0,None,326509,0,11,6120,SAR 311027
49,fil-710,2018-06-22 00:00:00,1439-10-08,Fri,Jun,Shawwal,Border,Hyper,990,No,24 hrs,SAR 32499.0,Regular,188233,94116,2,2354,SAR 98411
50,fil-701,2018-06-23 00:00:00,1439-10-09,Sat,Jun,Shawwal,Center,Regular,85,Yes,12 hrs,SAR 939.0,None,453054,0,5,6184,SAR 283618
51,fil-702,2018-06-23 00:00:00,1439-10-09,Sat,Jun,Shawwal,Center,Grande,1375,Yes,18 hrs,SAR 349551.0,Regular,1917897,575369,7,11507,SAR 587193
52,fil-703,2018-06-23 00:00:00,1439-10-09,Sat,Jun,Shawwal,Outskirts,Hyper,1285,No,24 hrs,SAR 24711.0,None,138913,0,1,2597,SAR 130782
53,fil-704,2018-06-23 00:00:00,1439-10-09,Sat,Jun,Shawwal,Center,Grande,510,No,12 hrs,SAR 729280.0,Regular,846845,254053,8,14010,SAR 625760
54,fil-705,2018-06-23 00:00:00,1439-10-09,Sat,Jun,Shawwal,Border,Hyper,1980,Yes,12 hrs,SAR 37586.0,None,321070,0,2,5164,SAR 236239
55,fil-706,2018-06-23 00:00:00,1439-10-09,Sat,Jun,Shawwal,Center,Grande,790,Yes,12 hrs,SAR 160395.0,Regular,918095,550857,11,5508,SAR 270136
56,fil-707,2018-06-23 00:00:00,1439-10-09,Sat,Jun,Shawwal,Center,Hyper,405,Yes,18 hrs,SAR 48228.0,None,331111,0,6,1986,SAR 117107
57,fil-708,2018-06-23 00:00:00,1439-10-09,Sat,Jun,Shawwal,Border,Hyper,1835,No,18 hrs,SAR 76296.0,Regular,275097,137548,1,5160,SAR 205239
58,fil-709,2018-06-23 00:00:00,1439-10-09,Sat,Jun,Shawwal,Center,Regular,80,No,12 hrs,SAR 4839.0,None,326509,0,11,4975,SAR 228448
59,fil-710,2018-06-23 00:00:00,1439-10-09,Sat,Jun,Shawwal,Border,Hyper,990,No,24 hrs,SAR 33692.0,Regular,188233,56469,2,1756,SAR 85264
60,fil-701,2018-06-24 00:00:00,1439-10-10,Sun,Jun,Shawwal,Center,Regular,85,Yes,12 hrs,SAR 1178.0,None,453054,0,5,4417,SAR 200131
61,fil-702,2018-06-24 00:00:00,1439-10-10,Sun,Jun,Shawwal,Center,Grande,1375,Yes,18 hrs,SAR 374324.0,None,1917897,0,7,18411,SAR 907583
62,fil-703,2018-06-24 00:00:00,1439-10-10,Sun,Jun,Shawwal,Outskirts,Hyper,1285,No,24 hrs,SAR 31799.0,None,138913,0,1,2677,SAR 132964
63,fil-704,2018-06-24 00:00:00,1439-10-10,Sun,Jun,Shawwal,Center,Grande,510,No,12 hrs,SAR 735333.0,None,846845,0,8,10984,SAR 436209
64,fil-705,2018-06-24 00:00:00,1439-10-10,Sun,Jun,Shawwal,Border,Hyper,1980,Yes,12 hrs,SAR 33739.0,None,321070,0,2,5265,SAR 274188
65,fil-706,2018-06-24 00:00:00,1439-10-10,Sun,Jun,Shawwal,Center,Grande,790,Yes,12 hrs,SAR 200666.0,None,918095,0,11,12669,SAR 536669
66,fil-707,2018-06-24 00:00:00,1439-10-10,Sun,Jun,Shawwal,Center,Hyper,405,Yes,18 hrs,SAR 55987.0,None,331111,0,6,2781,SAR 146623
67,fil-708,2018-06-24 00:00:00,1439-10-10,Sun,Jun,Shawwal,Border,Hyper,1835,No,18 hrs,SAR 75949.0,None,275097,0,1,4344,SAR 215942
68,fil-709,2018-06-24 00:00:00,1439-10-10,Sun,Jun,Shawwal,Center,Regular,80,No,12 hrs,SAR 4772.0,None,326509,0,11,4080,SAR 188533
69,fil-710,2018-06-24 00:00:00,1439-10-10,Sun,Jun,Shawwal,Border,Hyper,990,No,24 hrs,SAR 34794.0,None,188233,0,2,3727,SAR 195757
70,fil-701,2018-06-25 00:00:00,1439-10-11,Mon,Jun,Shawwal,Center,Regular,85,Yes,12 hrs,SAR 1351.0,None,453054,0,5,4122,SAR 233723
71,fil-702,2018-06-25 00:00:00,1439-10-11,Mon,Jun,Shawwal,Center,Grande,1375,Yes,18 hrs,SAR 340503.0,Grand,1917897,575369,7,23014,SAR 1071344
72,fil-703,2018-06-25 00:00:00,1439-10-11,Mon,Jun,Shawwal,Outskirts,Hyper,1285,No,24 hrs,SAR 28961.0,None,138913,0,1,2851,SAR 129834
73,fil-704,2018-06-25 00:00:00,1439-10-11,Mon,Jun,Shawwal,Center,Grande,510,No,12 hrs,SAR 686781.0,Grand,846845,254053,8,13109,SAR 679630
74,fil-705,2018-06-25 00:00:00,1439-10-11,Mon,Jun,Shawwal,Border,Hyper,1980,Yes,12 hrs,SAR 35176.0,None,321070,0,2,5619,SAR 271260
75,fil-706,2018-06-25 00:00:00,1439-10-11,Mon,Jun,Shawwal,Center,Grande,790,Yes,12 hrs,SAR 187435.0,Grand,918095,275428,11,6610,SAR 360963
76,fil-707,2018-06-25 00:00:00,1439-10-11,Mon,Jun,Shawwal,Center,Hyper,405,Yes,18 hrs,SAR 50440.0,None,331111,0,6,3973,SAR 175322
77,fil-708,2018-06-25 00:00:00,1439-10-11,Mon,Jun,Shawwal,Border,Hyper,1835,No,18 hrs,SAR 66169.0,Grand,275097,82529,1,4902,SAR 256958
78,fil-709,2018-06-25 00:00:00,1439-10-11,Mon,Jun,Shawwal,Center,Regular,80,No,12 hrs,SAR 4879.0,None,326509,0,11,5917,SAR 329646
79,fil-710,2018-06-25 00:00:00,1439-10-11,Mon,Jun,Shawwal,Border,Hyper,990,No,24 hrs,SAR 32470.0,Grand,188233,112939,2,2905,SAR 132975
80,fil-701,2018-06-26 00:00:00,1439-10-12,Tue,Jun,Shawwal,Center,Regular,85,Yes,12 hrs,SAR 1016.0,None,453054,0,5,5889,SAR 228743
81,fil-702,2018-06-26 00:00:00,1439-10-12,Tue,Jun,Shawwal,Center,Grande,1375,Yes,18 hrs,SAR 368105.0,Regular,1917897,1150738,7,25316,SAR 1075409
82,fil-703,2018-06-26 00:00:00,1439-10-12,Tue,Jun,Shawwal,Outskirts,Hyper,1285,No,24 hrs,SAR 27865.0,None,138913,0,1,2887,SAR 155847
83,fil-704,2018-06-26 00:00:00,1439-10-12,Tue,Jun,Shawwal,Center,Grande,510,No,12 hrs,SAR 741466.0,Regular,846845,423422,8,8927,SAR 414740
84,fil-705,2018-06-26 00:00:00,1439-10-12,Tue,Jun,Shawwal,Border,Hyper,1980,Yes,12 hrs,SAR 29665.0,None,321070,0,2,4137,SAR 182002
85,fil-706,2018-06-26 00:00:00,1439-10-12,Tue,Jun,Shawwal,Center,Grande,790,Yes,12 hrs,SAR 197146.0,Regular,918095,550857,11,7711,SAR 325585
86,fil-707,2018-06-26 00:00:00,1439-10-12,Tue,Jun,Shawwal,Center,Hyper,405,Yes,18 hrs,SAR 47414.0,None,331111,0,6,2979,SAR 125142
87,fil-708,2018-06-26 00:00:00,1439-10-12,Tue,Jun,Shawwal,Border,Hyper,1835,No,18 hrs,SAR 85965.0,Regular,275097,137548,1,4718,SAR 293486
88,fil-709,2018-06-26 00:00:00,1439-10-12,Tue,Jun,Shawwal,Center,Regular,80,No,12 hrs,SAR 4521.0,None,326509,0,11,4268,SAR 213512
89,fil-710,2018-06-26 00:00:00,1439-10-12,Tue,Jun,Shawwal,Border,Hyper,990,No,24 hrs,SAR 28653.0,Regular,188233,112939,2,2123,SAR 92815
90,fil-701,2018-06-27 00:00:00,1439-10-13,Wed,Jun,Shawwal,Center,Regular,85,Yes,12 hrs,SAR 1317.0,Regular,453054,135916,5,3239,SAR 148716
91,fil-702,2018-06-27 00:00:00,1439-10-13,Wed,Jun,Shawwal,Center,Grande,1375,Yes,18 hrs,SAR 423690.0,None,1917897,0,7,13808,SAR 657280
92,fil-703,2018-06-27 00:00:00,1439-10-13,Wed,Jun,Shawwal,Outskirts,Hyper,1285,No,24 hrs,SAR 32101.0,Regular,138913,83347,1,2884,SAR 143429
93,fil-704,2018-06-27 00:00:00,1439-10-13,Wed,Jun,Shawwal,Center,Grande,510,No,12 hrs,SAR 769703.0,None,846845,0,8,10500,SAR 614610
94,fil-705,2018-06-27 00:00:00,1439-10-13,Wed,Jun,Shawwal,Border,Hyper,1980,Yes,12 hrs,SAR 27884.0,Regular,321070,128428,2,3935,SAR 179708
95,fil-706,2018-06-27 00:00:00,1439-10-13,Wed,Jun,Shawwal,Center,Grande,790,Yes,12 hrs,SAR 199004.0,None,918095,0,11,6059,SAR 328530
96,fil-707,2018-06-27 00:00:00,1439-10-13,Wed,Jun,Shawwal,Center,Hyper,405,Yes,18 hrs,SAR 52175.0,Regular,331111,99333,6,2383,SAR 115119
97,fil-708,2018-06-27 00:00:00,1439-10-13,Wed,Jun,Shawwal,Border,Hyper,1835,No,18 hrs,SAR 76015.0,None,275097,0,1,5909,SAR 302405
98,fil-709,2018-06-27 00:00:00,1439-10-13,Wed,Jun,Shawwal,Center,Regular,80,No,12 hrs,SAR 5523.0,Regular,326509,195905,11,3727,SAR 165931
99,fil-710,2018-06-27 00:00:00,1439-10-13,Wed,Jun,Shawwal,Border,Hyper,990,No,24 hrs,SAR 35638.0,None,188233,0,2,2653,SAR 142471
100,fil-701,2018-06-28 00:00:00,1439-10-14,Thu,Jun,Shawwal,Center,Regular,85,Yes,12 hrs,SAR 1260.0,Regular,453054,271832,5,2944,SAR 156464
101,fil-702,2018-06-28 00:00:00,1439-10-14,Thu,Jun,Shawwal,Center,Grande,1375,Yes,18 hrs,SAR 324988.0,None,1917897,0,7,27617,SAR 1292636
102,fil-703,2018-06-28 00:00:00,1439-10-14,Thu,Jun,Shawwal,Outskirts,Hyper,1285,No,24 hrs,SAR 27777.0,Regular,138913,69456,1,1914,SAR 93015
103,fil-704,2018-06-28 00:00:00,1439-10-14,Thu,Jun,Shawwal,Center,Grande,510,No,12 hrs,SAR 735245.0,None,846845,0,8,15873,SAR 902652
104,fil-705,2018-06-28 00:00:00,1439-10-14,Thu,Jun,Shawwal,Border,Hyper,1980,Yes,12 hrs,SAR 30529.0,Regular,321070,128428,2,5027,SAR 255802
105,fil-706,2018-06-28 00:00:00,1439-10-14,Thu,Jun,Shawwal,Center,Grande,790,Yes,12 hrs,SAR 225097.0,None,918095,0,11,8813,SAR 450033
106,fil-707,2018-06-28 00:00:00,1439-10-14,Thu,Jun,Shawwal,Center,Hyper,405,Yes,18 hrs,SAR 56821.0,Regular,331111,165555,6,3178,SAR 156159
107,fil-708,2018-06-28 00:00:00,1439-10-14,Thu,Jun,Shawwal,Border,Hyper,1835,No,18 hrs,SAR 78256.0,None,275097,0,1,4433,SAR 233634
108,fil-709,2018-06-28 00:00:00,1439-10-14,Thu,Jun,Shawwal,Center,Regular,80,No,12 hrs,SAR 4401.0,Regular,326509,163254,11,3213,SAR 174099
109,fil-710,2018-06-28 00:00:00,1439-10-14,Thu,Jun,Shawwal,Border,Hyper,990,No,24 hrs,SAR 36566.0,None,188233,0,2,2752,SAR 123266
110,fil-701,2018-06-29 00:00:00,1439-10-15,Fri,Jun,Shawwal,Center,Regular,85,Yes,12 hrs,SAR 1135.0,None,453054,0,5,6184,SAR 324348
111,fil-702,2018-06-29 00:00:00,1439-10-15,Fri,Jun,Shawwal,Center,Grande,1375,Yes,18 hrs,SAR 351799.0,None,1917897,0,7,12658,SAR 580854
112,fil-703,2018-06-29 00:00:00,1439-10-15,Fri,Jun,Shawwal,Outskirts,Hyper,1285,No,24 hrs,SAR 31942.0,None,138913,0,1,2365,SAR 127016
113,fil-704,2018-06-29 00:00:00,1439-10-15,Fri,Jun,Shawwal,Center,Grande,510,No,12 hrs,SAR 793931.0,None,846845,0,8,9093,SAR 512033
114,fil-705,2018-06-29 00:00:00,1439-10-15,Fri,Jun,Shawwal,Border,Hyper,1980,Yes,12 hrs,SAR 26078.0,None,321070,0,2,3640,SAR 188166
115,fil-706,2018-06-29 00:00:00,1439-10-15,Fri,Jun,Shawwal,Center,Grande,790,Yes,12 hrs,SAR 226145.0,None,918095,0,11,11017,SAR 549089
116,fil-707,2018-06-29 00:00:00,1439-10-15,Fri,Jun,Shawwal,Center,Hyper,405,Yes,18 hrs,SAR 56014.0,None,331111,0,6,2979,SAR 160372
117,fil-708,2018-06-29 00:00:00,1439-10-15,Fri,Jun,Shawwal,Border,Hyper,1835,No,18 hrs,SAR 77601.0,None,275097,0,1,4965,SAR 208483
118,fil-709,2018-06-29 00:00:00,1439-10-15,Fri,Jun,Shawwal,Center,Regular,80,No,12 hrs,SAR 5295.0,None,326509,0,11,4268,SAR 235548
119,fil-710,2018-06-29 00:00:00,1439-10-15,Fri,Jun,Shawwal,Border,Hyper,990,No,24 hrs,SAR 39026.0,None,188233,0,2,2696,SAR 149192
120,fil-701,2018-06-30 00:00:00,1439-10-16,Sat,Jun,Shawwal,Center,Regular,85,Yes,12 hrs,SAR 1297.0,Grand,453054,181221,5,3239,SAR 181614
121,fil-702,2018-06-30 00:00:00,1439-10-16,Sat,Jun,Shawwal,Center,Grande,1375,Yes,18 hrs,SAR 339476.0,None,1917897,0,7,18411,SAR 959196
122,fil-703,2018-06-30 00:00:00,1439-10-16,Sat,Jun,Shawwal,Outskirts,Hyper,1285,No,24 hrs,SAR 29081.0,Grand,138913,55565,1,2300,SAR 115434
123,fil-704,2018-06-30 00:00:00,1439-10-16,Sat,Jun,Shawwal,Center,Grande,510,No,12 hrs,SAR 705664.0,None,846845,0,8,12956,SAR 634146
124,fil-705,2018-06-30 00:00:00,1439-10-16,Sat,Jun,Shawwal,Border,Hyper,1980,Yes,12 hrs,SAR 35532.0,Grand,321070,192642,2,4835,SAR 236220
125,fil-706,2018-06-30 00:00:00,1439-10-16,Sat,Jun,Shawwal,Center,Grande,790,Yes,12 hrs,SAR 189755.0,None,918095,0,11,5508,SAR 254502
126,fil-707,2018-06-30 00:00:00,1439-10-16,Sat,Jun,Shawwal,Center,Hyper,405,Yes,18 hrs,SAR 48020.0,Grand,331111,198666,6,3774,SAR 194066
127,fil-708,2018-06-30 00:00:00,1439-10-16,Sat,Jun,Shawwal,Border,Hyper,1835,No,18 hrs,SAR 95698.0,None,275097,0,1,4307,SAR 229240
128,fil-709,2018-06-30 00:00:00,1439-10-16,Sat,Jun,Shawwal,Center,Regular,80,No,12 hrs,SAR 5182.0,Grand,326509,195905,11,4566,SAR 185084
129,fil-710,2018-06-30 00:00:00,1439-10-16,Sat,Jun,Shawwal,Border,Hyper,990,No,24 hrs,SAR 28329.0,None,188233,0,2,2685,SAR 123468
130,fil-701,2018-07-01 00:00:00,1439-10-17,Sun,Jul,Shawwal,Center,Regular,85,Yes,12 hrs,SAR 1458.0,Regular,453054,226527,5,6773,SAR 356014
131,fil-702,2018-07-01 00:00:00,1439-10-17,Sun,Jul,Shawwal,Center,Grande,1375,Yes,18 hrs,SAR 412319.0,None,1917897,0,7,14959,SAR 775875
132,fil-703,2018-07-01 00:00:00,1439-10-17,Sun,Jul,Shawwal,Outskirts,Hyper,1285,No,24 hrs,SAR 25233.0,Regular,138913,41673,1,2012,SAR 94038
133,fil-704,2018-07-01 00:00:00,1439-10-17,Sun,Jul,Shawwal,Center,Grande,510,No,12 hrs,SAR 817633.0,None,846845,0,8,11286,SAR 544157
134,fil-705,2018-07-01 00:00:00,1439-10-17,Sun,Jul,Shawwal,Border,Hyper,1980,Yes,12 hrs,SAR 30356.0,Regular,321070,96321,2,2951,SAR 153021
135,fil-706,2018-07-01 00:00:00,1439-10-17,Sun,Jul,Shawwal,Center,Grande,790,Yes,12 hrs,SAR 173351.0,None,918095,0,11,11017,SAR 674677
136,fil-707,2018-07-01 00:00:00,1439-10-17,Sun,Jul,Shawwal,Center,Hyper,405,Yes,18 hrs,SAR 47310.0,Regular,331111,132444,6,1986,SAR 87393
137,fil-708,2018-07-01 00:00:00,1439-10-17,Sun,Jul,Shawwal,Border,Hyper,1835,No,18 hrs,SAR 74656.0,None,275097,0,1,5900,SAR 275081
138,fil-709,2018-07-01 00:00:00,1439-10-17,Sun,Jul,Shawwal,Center,Regular,80,No,12 hrs,SAR 5580.0,Regular,326509,97952,11,3712,SAR 220936
139,fil-710,2018-07-01 00:00:00,1439-10-17,Sun,Jul,Shawwal,Border,Hyper,990,No,24 hrs,SAR 33691.0,None,188233,0,2,3523,SAR 176827
140,fil-701,2018-07-02 00:00:00,1439-10-18,Mon,Jul,Shawwal,Center,Regular,85,Yes,12 hrs,SAR 1143.0,None,453054,0,5,4122,SAR 220959
141,fil-702,2018-07-02 00:00:00,1439-10-18,Mon,Jul,Shawwal,Center,Grande,1375,Yes,18 hrs,SAR 386784.0,Regular,1917897,767158,7,13808,SAR 700625
142,fil-703,2018-07-02 00:00:00,1439-10-18,Mon,Jul,Shawwal,Outskirts,Hyper,1285,No,24 hrs,SAR 31498.0,None,138913,0,1,2010,SAR 94141
143,fil-704,2018-07-02 00:00:00,1439-10-18,Mon,Jul,Shawwal,Center,Grande,510,No,12 hrs,SAR 690851.0,Regular,846845,508107,8,8509,SAR 438597
144,fil-705,2018-07-02 00:00:00,1439-10-18,Mon,Jul,Shawwal,Border,Hyper,1980,Yes,12 hrs,SAR 33417.0,None,321070,0,2,2684,SAR 139140
145,fil-706,2018-07-02 00:00:00,1439-10-18,Mon,Jul,Shawwal,Center,Grande,790,Yes,12 hrs,SAR 210763.0,Regular,918095,550857,11,12118,SAR 658667
146,fil-707,2018-07-02 00:00:00,1439-10-18,Mon,Jul,Shawwal,Center,Hyper,405,Yes,18 hrs,SAR 57724.0,None,331111,0,6,3774,SAR 186803
147,fil-708,2018-07-02 00:00:00,1439-10-18,Mon,Jul,Shawwal,Border,Hyper,1835,No,18 hrs,SAR 75693.0,Regular,275097,82529,1,4400,SAR 194674
148,fil-709,2018-07-02 00:00:00,1439-10-18,Mon,Jul,Shawwal,Center,Regular,80,No,12 hrs,SAR 5226.0,None,326509,0,11,4279,SAR 193859
149,fil-710,2018-07-02 00:00:00,1439-10-18,Mon,Jul,Shawwal,Border,Hyper,990,No,24 hrs,SAR 33612.0,Regular,188233,56469,2,2843,SAR 144725
150,fil-701,2018-07-03 00:00:00,1439-10-19,Tue,Jul,Shawwal,Center,Regular,85,Yes,12 hrs,SAR 1444.0,None,453054,0,5,4122,SAR 186129
151,fil-702,2018-07-03 00:00:00,1439-10-19,Tue,Jul,Shawwal,Center,Grande,1375,Yes,18 hrs,SAR 337496.0,Regular,1917897,1150738,7,17261,SAR 794883
152,fil-703,2018-07-03 00:00:00,1439-10-19,Tue,Jul,Shawwal,Outskirts,Hyper,1285,No,24 hrs,SAR 23526.0,None,138913,0,1,1954,SAR 91328
153,fil-704,2018-07-03 00:00:00,1439-10-19,Tue,Jul,Shawwal,Center,Grande,510,No,12 hrs,SAR 763863.0,Regular,846845,423422,8,11229,SAR 560621
